PRODUCTID,PARENTSKU,VARIATIONSKU,VARIATIONID,featured_image,product_attribute_name,product_attribute_value,product_attribute_visible,product_attribute_variation,product_attribute_position,featured,downloadable_files,download_limit,download_expiry,price,sale_price_dates_from,sale_price_dates_to,regular_price,sale_price,purchase_note,default_attributes,custom_attributes,comment_status,tax_status,tax_class,weight,length,width,height,downloadable,virtual,stock,stock_status,low_stock_threshold,stock_qty,sold_individually,manage_stock,backorders,thumbnail_id,_subscription_period,_subscription_period_interval,_subscription_length,_subscription_trial_period,_subscription_trial_length,_subscription_price,_subscription_sign_up_fee,variation_description,variation_shipping_class
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631004247,186,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Red
Size: 5T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631004063,187,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 12 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631004070,188,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 18 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,189,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 2T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,190,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 3T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,191,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 4T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,192,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Pink
Size: 5T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,193,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 12 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,194,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 18 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,195,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 2T",
