"PRODUCTID","PARENTSKU","VARIATIONSKU","VARIATIONID","featured_image","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured","downloadable_files","download_limit","download_expiry","price","sale_price_dates_from","sale_price_dates_to","regular_price","sale_price","purchase_note","default_attributes","custom_attributes","comment_status","tax_status","tax_class","weight","length","width","height","downloadable","virtual","stock","stock_status","low_stock_threshold","stock_qty","sold_individually","manage_stock","backorders","thumbnail_id","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","variation_description","variation_shipping_class"
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","177","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red 
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","182","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","183","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","184","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","185","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Red
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","186","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Red
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","187","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","188","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","189","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","190","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 3T",
