"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","PRODUCTSKU","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","product_category","product_tag","site-content-layout","site-sidebar-layout","theme-transparent-header-meta","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","sitemap-include","sitemap-prio","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","cornerstone-content"
"MATZUO Snagging Weighted Treble Hooks 8/0 - AKRDY","30",,,"2020-04-30 11:28:08","matzuo-snagging-weighted-treble-hooks-8-0-akrdy","admin","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/W304_WeightedSnaggingTreble.jpg","W304011-8/0",,"1","taxable","1",,,,,,,,,,,,"28","no",,"instock",,,"5","no","no","7.86","5.00",,"0","open",,"8","6","4",,,,,,"5.00","no","no","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/8-0-150x150.jpg",,,,,"-1","-1",,,,,,,,,"Fishing","King Salmon,Prince William Sound,Red Salmon,Seward,Silver Salmon,Snagging Hooks","default","default","default","MATZUO Snagging Weighted Treble Hooks 8/0 - AKRDY",,,,,,,,,,,,,,,,,,,,
"MATZUO Snagging Weighted Treble Hooks 10/0 - AKRDY","31",,,"2020-04-30 11:28:08","matzuo-snagging-weighted-treble-hooks-10-0-akrdy","admin","publish","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/W304_WeightedSnaggingTreble.jpg","W304011-10/0",,"1","taxable","1",,,,,,,,,,,,"28","no",,"instock",,,"0","no","no","10.00","6.00",,"0","open",,"8","6","4",,,,,,"6.00","no","no","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/04/8-0-150x150.jpg",,,,,"-1","-1",,,,,,,,,"Fishing","King Salmon,Prince William Sound,Red Salmon,Seward,Silver Salmon,Snagging Hooks","default","default","default","MATZUO Snagging Weighted Treble Hooks 10/0 - AKRDY",,,,,,,,,,,,,,,,,,,,
