"PRODUCTID","PARENTSKU","VARIATIONSKU","VARIATIONID","featured_image","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured","downloadable_files","download_limit","download_expiry","price","sale_price_dates_from","sale_price_dates_to","regular_price","sale_price","purchase_note","default_attributes","custom_attributes","comment_status","tax_status","tax_class","weight","length","width","height","downloadable","virtual","stock","stock_status","low_stock_threshold","stock_qty","sold_individually","manage_stock","backorders","thumbnail_id","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","variation_description","variation_shipping_class"
"MatSu Spinners Size 5 &#8211; Red, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSuBlue","173",,,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed","taxable","parent","0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Blue","Lures Hooks"
"MatSu Spinners Size 5 &#8211; Red, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSuYellow","174",,,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed","taxable","parent","0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Yellow","Lures Hooks"
"MatSu Spinners Size 5 &#8211; Red, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSuDfly","175",,,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed","taxable","parent","0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color D-Fly. This is a Turquoise body, red beads, and orange hoochie. ","Lures Hooks"
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"251654165","177",,,,,,,,,"-1","-1","15",,,"20","15",,,"|","closed","taxable","parent",,,,,"no","no","3","instock",,,"no","yes","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"178",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"179",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"180",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"181",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"182",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"183",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"184",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"185",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"186",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"698631004063","187",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"698631004070","188",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"189",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","0","outofstock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"698631004094","190",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"191",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","0","outofstock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"192",,,,,,,,,"-1","-1","37.50",,,"39.95","37.50",,,"|","closed","taxable","parent","0.55","10","10","1","no","no","0","outofstock",,,"no","yes","no",,,,,,,,,"Color: Pink
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"193",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"194",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"195",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"196",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"197",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"198",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"199",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"200",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"201",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"202",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"203",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"204",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"205",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"206",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"207",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"208",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"209",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,,"210",,,,,,,,,"-1","-1",,,,,,,,"|","closed","taxable","parent",,,,,"no","no",,"instock",,,"no","no","no",,,,,,,,,,
